hotel_id,name,address,city,state_province,postal_code,latitude,longitude,star_rating,high_rate,low_rate
219370,Dumont NYC-an Affinia hotel,150 E. 34th Street at Lexington Avenue,New York,NY,10016,40.74624,-73.97929,4,349.74,299.24
109277,Park Central New York,870 7th Ave,New York,NY,10019,40.76452,-73.98078,4,191,190
116103,Blakely New York,136 W 55th St,New York,NY,10019,40.76366,-73.97965,4.5,206.46,205.46
415836,Pod 39,145 East 39th Street,New York,NY,10016,40.74929,-73.9767,3,220.0373,130.0206
351449,Sheraton Tribeca New York Hotel,370 Canal Street,New York,NY,10013,40.72102,-74.00418,4,350.18,219.18
343224,Chelsea Savoy Hotel,204 W 23rd Street,New York,NY,10011,40.74422,-73.99596,2,176.41,175.41
326046,"Distrikt Hotel New York City, an Ascend Collection Hotel",342 W 40th St,New York,NY,10018,40.75679,-73.99273,3.5,219.34,129.34
358061,Element New York Times Square West,311 West 39th Street,New York,NY,10018,40.75565,-73.99193,3.5,474.21,299.16
421592,Hyatt Union Square New York,134 Fourth Avenue,New York,NY,10003,40.73347,-73.98989,4,589.0867,543.1791
438922,Hyatt Centric Times Square New York,135 W 45th St,New York,NY,10036,40.75739,-73.98417,4,683.7359,412.9442
172653,"Hudson New York, Central Park",358 W 58th St,New York,NY,10019,40.76836,-73.98476,4,469.08,131.05
125617,Excelsior Hotel,45 W 81st St,New York,NY,10024,40.78295,-73.97385,3.5,448.8286,328.8777
438630,WestHouse New York,201 West 55th Street,New York,NY,10019,40.76442,-73.98144,5,510.49,370.23
124573,DoubleTree Suites by Hilton New York City - Times Square,1568 Broadway,New York,NY,10036,40.75904,-73.98475,4,439.19,259.11
226121,The Westin New York at Times Square,270 W 43rd Street,New York,NY,10036,40.75779,-73.98902,4.5,309.45,304.45
145146,Paramount Times Square,235 West 46th Street,New York,NY,10036,40.75946,-73.98712,4,419.17,182.96
112922,New York Hilton Midtown,1335 Avenue Of The Americas,New York,NY,10019,40.76225,-73.97874,4,899.04,203.16
